"airport","as_code","as_desc","icon_sel_url","icon_unsel_url","asc_name","asc_code","asc_desc","img_url","email","contact","url"
"Ahmedabad","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Saptagiri Restaurant ","338","Tea/Coffee vending machine at T-2 SHA, Snack bar at T-2, Branded snacks bar at o/s T-1 & T-1 SHA","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","restaurantsaptagiri@ymail.com","7600416680",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Saptagiri Restaurant Pvt Ltd","339","Meet & Greet Services at T-1 & T-2 on chargeable basis","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","sprl.company@gmail.com","7600416680",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Emirates Airlines","341","Free wheel chair facility available on call ","http://airsewa.gov.in/IMG_AiportServices/3/2.jpg","shalin.joshipura@emirates.com","9825130380",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Spicejet Airline","342","Free wheel chair facility available on call & unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/3.jpg","sm.amd@spicejet.com","9824248977",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Qatar Airways","343","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/4.jpg","amdkzqr@in.qatarairways.com","9974005022",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Air India Ltd","344","Free wheel chair facility available on call & Unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/5.jpg","apm.amd@airindia.in","9825286658",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Etihad Airways","345","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/6.jpg","airportmanageramd@etihad.ae","9099011886",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Jet Airways","346","Free wheel chair facility available on call & Unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/7.jpg","vijays@jetairways.com","9825403133",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Singapore Airlines","347","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/8.jpg","siwel_li@singaporeair.com.sg","9825017968",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Air Arabia","348","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","amd@airarabia.com","8511082154",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Fly Dubai","349","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/2.jpg","krishan.bhardwaj@flydubai.com","9711693937",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Kuwait airways","350","Free wheel chair facility available on call","http://airsewa.gov.in/IMG_AiportServices/3/3.jpg","amdkzku@kuwaitairways.com","8758757817",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Indigo Airline","351","Free wheel chair facility available on call & unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/4.jpg","mohammed.peerzada@goindigo.in","0000000",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Go Air","352","Free wheel chair facility available on call & unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/5.jpg","jaysh.jani@goair.in","9898262655",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Air Vistara","353","Free wheel chair facility available on call & unaccompanied minor service","http://airsewa.gov.in/IMG_AiportServices/3/6.jpg","sandeep.rajput@airvistara.com","9913379006",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Apollo Hospital International Ltd","354","First Aid medical facility is available at domestic terminal T-1 & International terminal T-2","http://airsewa.gov.in/IMG_AiportServices/3/7.jpg","sandipji@apolloahd.com","7698815118",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AAI   CISF","356","Separate queue for wheel chair pax./Mother with infant/Senior citizen/expecting mother for security check","http://airsewa.gov.in/IMG_AiportServices/3/8.jpg","pgo_ahm@aai.aero","00000",""
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AAI","357","Lost & found service is available wit Terminal Manager","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","tmlahm@aai.aero,tmlahm@aai.aero","07922869266,9099951141",","
"Ahmedabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AAI","358","Inter Terminal Link facility between T-1 & T-2 operating between 04:00 AM to 07:30 AM & 07:00 PM to 10:30 PM","http://airsewa.gov.in/IMG_AiportServices/3/2.jpg","","",""
"Ahmedabad","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Ahmedabad International Airport Taxi Owners Associ","340","Pre-paid taxi service available at T-2 Arrival","http://airsewa.gov.in/IMG_AiportServices/4/1.jpg","salimkazi228@gmail.com","9879099608",""
"Ahmedabad","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Akbar Travels Pvt Ltd","355","Car rental services available at Arrival lounge domestic terminal ","http://airsewa.gov.in/IMG_AiportServices/4/2.jpg","accounts.amd@akbarcarrental.in","9824074488",""
"Ahmedabad","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","S S Enterprises","359","Parking facility available at T 1 & T 2.","http://airsewa.gov.in/IMG_AiportServices/4/3.jpg","santosh20013@gmail.com","8601182925",""
"Ahmedabad","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Ahmedabad Municipal Corporation","360","Airport Shuttle AC Bus service
Provided at every half an hour from T-1 to Karnavati club & back. Bus fare is Rs 30 for 10 kms and Rs 50 beyond 10 kms
Route 
SVPI Airport - Dafnala- circuit house- Shahibaug under bridge- Police stadium- Subhash bridge circle- Gandhi Ashram- Vadaj Terminal- Usmanpura- Gujarat Vidhyapeeth- ITO- Mt Caramel school- Natraj cinema- Town hall - Gujarat College- University Granth Nirmaan board- Law Garden- C N Vidyalay- Nehru Nagar- Jhansi ki Rani- Shivranajani- Jodhpur- Star bazar- ISRO- Ramdev Nagar- ISKCON cross road- Hotel Royal Plaza- Karnavati Club","http://airsewa.gov.in/IMG_AiportServices/4/4.jpg","janmarg.ajl@egovmc.com","9377482399",""
"Vadodara","1","Wi-fi","http://airsewa.gov.in/IMG_AiportServices/wi-fi_select.png","http://airsewa.gov.in/IMG_AiportServices/wi-fi_unselect.png","Wi Fi Services","264","You can check your email, catch up with social media friends with 60 minutes of complementary wifi access","http://airsewa.gov.in/IMG_AiportServices/1/1.jpg","prashant.sharma@emp.youboradband.co.in ","8401338809","www.youbroadband.co.in "
"Vadodara","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","M/s P K Hospitality  Port Lounge ","265","providing the tea /snack/lunch/dinner during the hours of operation at Vadodara Airport ","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","","8137953549",""
"Vadodara","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Snack Bar Services","266","providing the tea /snack during the hours of operation at Vadodara Airport inside SHA .","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","restaurentsaptagiri@ymail.com ","99212700405",""
"Vadodara","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Snack Bar Services","267","providing snack branded item of subways during the operation hours at Vdodara Airport ","http://airsewa.gov.in/IMG_AiportServices/2/3.jpg","subway58522@npfoods.org","9624059544",""
"Vadodara","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","WHEEL CHAIR ON CALL- INDIGO ","261","Wheel chair on call services for Indigo Airlines flyers","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","bdq@goindigo.in ","2652492221","www.goindigo.in"
"Vadodara","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","WHEEL CHAIR ON CALL- AIR INDIA","262","Wheel chair on call services for Air India flyers","http://airsewa.gov.in/IMG_AiportServices/3/2.jpg","bdq.apt@airindia.in","9727787700","www.airindia.in"
"Vadodara","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","WHEEL CHAIR ON CALL- JET AIRWAYS","263","Wheel chair on call services for Jet Airways flyers","http://airsewa.gov.in/IMG_AiportServices/3/3.jpg","bdqcss@jetairways.com ","02652484801","www.jetairways.com"
"Vadodara","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Car rental service","268","providing car rental service at Vadodara ","http://airsewa.gov.in/IMG_AiportServices/4/1.jpg","booking@tirthtravels.in","7227022110",""
"Bhopal","1","Wi-fi","http://airsewa.gov.in/IMG_AiportServices/wi-fi_select.png","http://airsewa.gov.in/IMG_AiportServices/wi-fi_unselect.png","Wi Fi Services","283","WiFi Services","http://airsewa.gov.in/IMG_AiportServices/1/1.jpg","","1800-345-1504","http://www.mp.bsnl.co.in"
"Bhopal","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Home Line Services","284","Recharge yourself during your transit through our airport with a refreshing break. Please visit us at Terminal Building Ground Floor","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","","9303108440",""
"Bhopal","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Sukhsagar Catters","285","Recharge yourself during your transit through our airport with a refreshing break. Please visit us at Terminal Building Ground Floor","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","sukhsagarcatters@ gmail.com","9713957319",""
"Bhopal","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","FREE WHEEL CHAIR - AIRPORTS AUTHORITY OF INDIA","280","Free Wheel Chair Service provided by Airports Authority of India","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","apdbhopal@aai.aero"," 0755-264 6001","www.aai.aero"
"Bhopal","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","WHEEL CHAIR ON CALL- AIR INDIA","281","Wheel Chair on call Services for Air India flyers","http://airsewa.gov.in/IMG_AiportServices/3/2.jpg","help@airIndia.com","8134567898","www.airindia.com"
"Bhopal","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","WHEEL CHAIR ON CALL- JET AIRWAYS","282","Wheel Chair on call Services by Jet Airways flyers","http://airsewa.gov.in/IMG_AiportServices/3/3.jpg","help@jetairways.com","8123467888","www.jetairways.com"
"Bhopal","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Cab Services","286"," Prepaid Taxi Services ","http://airsewa.gov.in/IMG_AiportServices/4/1.jpg","bcll_bpl@ rediffmail.com","0755-2980097",""
"Bhopal","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Maxi Cab Service","287"," Maxi Cab Services ","http://airsewa.gov.in/IMG_AiportServices/4/2.jpg","bhopal@ akbarcarrental.in","9098520444",""
"Bengaluru","1","Wi-fi","http://airsewa.gov.in/IMG_AiportServices/wi-fi_select.png","http://airsewa.gov.in/IMG_AiportServices/wi-fi_unselect.png","Tata Docomo Wi-Fi","361","Wherever you are in Bangalore International Airport, there is a free wireless internet (Wi-Fi) connection available. ","http://airsewa.gov.in/IMG_AiportServices/1/1.jpg","tatabial13@gmail.com","08066782877","http://www.bengaluruairport.com"
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Cafe Noir Kerb ","374","A Persian bistro-inspired casual dining place serving some of the finest in French cuisine. There is always something here to satisfy your taste buds, from the flakiest of butter croissants to lip-smacking caramel tarts. (Location - opposite departure gate 1-4)","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","airport@cafenoir.co.in","08066784899",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","La Alta Vita","375","La Alta Vita is the food destination to experience high life, the Italian way. All the quintessential Italian delicacies like focaccia caprese, Calamari Frito misto and ubiquitous thin crust pizzas are prepared with the best of ingredients and with utmost care buon appetito (Location - near gate no 7)","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Puro Gusto","376","Puro gusto is a bakery and coffee shop, which brings the best of Italian cafeteria tradition with an innovative twist. Here, one can switch off and enjoy a wide variety of delicacies in a relaxing ambience. (Location - near gate no 8)","http://airsewa.gov.in/IMG_AiportServices/2/3.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","La Tapenade","377","From a true Mediterranean culinary experience, a visit to La Tapenade is a must. From the soul comforting Moroccan lentil soup to the delicious grilled lemon-paprika tiger prawns to the palate-cleansing granitas, everything is an ode to the Mediterranean cost. (Location - near gate no 17)","http://airsewa.gov.in/IMG_AiportServices/2/4.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","7 Tawas","378","7 Tawas serves authentic Indian cuisine from dosa to uttappam, parathas to kathi rolls, pav bhaji to ragada samosa, dal makhani to matar paneer, pulao to hyderabadi dum biryani, Gulab jamun to rasgolla, flavored lassie to badam milk. Truly a royal treat before you board your long flight from India. (Location - near gate no 18)","http://airsewa.gov.in/IMG_AiportServices/2/5.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Kaati Zone","379","Kaati zone is a one stop outlet to grab a quick bite before heading into the city or catching your flight. Savour the dum style chicken biryani or the hearty and wholesome curry combos and if in a hurry, the popular chicken tikka or mixed vegetable roll, is a must.","http://airsewa.gov.in/IMG_AiportServices/2/6.jpg","suman@kaatizone.com","08065697771",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Taste of India","380","Taste of India represents the wonderful world of Indian cuisine, where one can enjoy a fast snack break or a more filling meal. At taste of India there is something for everyone and it is always freshly prepared. (Location - near boarding gate 9)","http://airsewa.gov.in/IMG_AiportServices/2/7.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","California Buriito","381","California burrito is a contemporary fast-casual Mexican grill, serving fresh food made using classic culinary techniques. Served in a assemble line format, guests can customize their meals precisely to ensure the perfect meal that meets their tastes. (Location - near arrival gates)","http://airsewa.gov.in/IMG_AiportServices/2/8.jpg","dineshm@californiaburito.in","08068888773",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Fresh and Healthy","382","Fresh & Healthy offers you quick healthy food and beverages such as made-to-order sandwiches, and soups, freshly extracted fruit & vegetable juice and smoothies on the go. (Location - near boarding gate no 2)","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","KFC","383","Satisfy hunger pangs with the signature flavors of freshly made chicken dishes and more at KFC. Popcorn chicken, zinger burgers, hot wings to fries - finger lickin good. (Location - Near boarding gate no 15)","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Subway","384","Stop by the worlds largest submarine sandwich chain for a quick, fresh and healthy meal. The foot long and 6-inch sandwich are made from freshly baked bread and prepared right before your eyes with a assortment of meats, vegetables and toppings. (Location - Kerbside opposite airline counter).","http://airsewa.gov.in/IMG_AiportServices/2/3.jpg","areamanager@bread-basket.net","08068888111",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Tiffin Express","385","Tiffin Express is an authentic south Indian grab & go concept, with a fresh and local touch. Come and enjoy a wide variety of delicacies of south India. (Location - near boarding gate no 2)","http://airsewa.gov.in/IMG_AiportServices/2/4.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Urban Food Market","386","They go to the place for grabbing a quick bite before boarding the plane. From healthy fruit bowls to delicious chocolate muffin, you will find everything to satiate your hunger. (Location - near boarding gate no 6, 11, 24)","http://airsewa.gov.in/IMG_AiportServices/2/5.jpg","kathhiravan.radhakrishnan@hmshost.net","8884450003",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Maiyas","387","Enjoy authentic south Indian delicacies served with a whole lotta love at maiyas. Try the rava idli along with a freshly brewed cup of filter coffee and Savour the true flavours of the south. (Location - near departure gate 5 - 7)","http://airsewa.gov.in/IMG_AiportServices/2/6.jpg","pushparaj.k@maiyas.in","7259227662",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Cafe Coffee day","388","Experience coffee the way it should be at the India most popular coffee chain, Cafe Coffee day. Drop in to unwind amidst the aroma of a freshly brewed coffee. (Location - Arrival hall, Departure hall and opposite BMTC bus stop)","http://airsewa.gov.in/IMG_AiportServices/2/7.jpg","naveen.ca@cafecoffeeday.com","9071380589",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Chai Point","389","Grab a steaming hot cup of Indias most loved beverage only at chai point. It serves all the popular avatars of chai along with samosa and maska bun, that are best enjoyed while sipping your favorite cup of team. (Location - near arrival gates)","http://airsewa.gov.in/IMG_AiportServices/2/8.jpg","shashidhara@chaipoint.com","9900746611",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Hatti Kaapi","390","Hatti Kaapi, the authentic south Indian filter coffee destination. A stop-over at hatti kaapi is a must not only to try the filter coffee but also the peanut masala bun, before heading into city. (Location - near arrival gates)","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","girish@hattikaapi.in","9591999437",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Day Hotel","391","The day hotel can be accessed by passengers who hold onward boarding passes or flight tickets. There are 20 rooms with different bedroom categories designed to suit the requirements of all travelers-such as single rooms, double bunk rooms, family rooms and a  twin share room. The rooms are equipped with complimentary high speed internet connection, a work desk, storage space, TV, comfortable bed and attached shower and bathroom facilities. (Location - departure hall level 2)","http://airsewa.gov.in/IMG_AiportServices/2/2.jpg","sujay.patil@plaza-network.com","08066784833",""
"Bengaluru","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Lounge - Plaza premium","392","Plaza premium lounge, the worlds leading airport lounge provider brings its world class airport services at BLR airport. The lounges will have delectable food and beverage along with interactive live food counters for made to order dishes, comfortable seating options, high speed Wi-Fi. (Location - domestic and international security hold area)","http://airsewa.gov.in/IMG_AiportServices/2/3.jpg","sujay.patil@plaza-network.com","08066784811",""
